"","C.Season","C.Name","C.Team.x","C.G","C.AB","C.PA","C.H","C.B1","C.B2","C.B3","C.HR","C.R","C.RBI","C.BB","C.IBB","C.SO","C.HBP","C.SF","C.SH","C.GDP","C.SB","C.CS","C.AVG","C.BB_perc","C.K_perc","C.ISO","C.BABIP","C.OBP","C.SLG","C.wOBA","C.wRC.","C.BsR","C.Off","C.WAR","C.Team.y","C.Position","C.score","C.perPA","C.perAB"
"1",2023,"Adley Rutschman","BAL",154,588,687,163,111,31,1,20,84,80,92,6,101,2,5,0,14,1,2,0.277,0.134,0.147,0.158,0.303,0.374,0.435,0.352,127,-3,19.3,5.1,"BAL","C",418,0.60844250363901,0.710884353741497
"2",2023,"William Contreras","MIL",141,540,611,156,100,38,1,17,86,78,63,2,126,5,2,1,23,6,1,0.289,0.103,0.206,0.169,0.348,0.367,0.457,0.357,124,-3.4,15.1,5.4,"MIL","C",356,0.582651391162029,0.659259259259259
"3",2023,"Will Smith","LAD",126,464,554,121,79,21,2,19,80,76,63,2,89,15,12,0,8,3,0,0.261,0.114,0.161,0.177,0.277,0.359,0.438,0.345,119,1.9,14.8,4.4,"LAD","C",338,0.610108303249097,0.728448275862069
"4",2023,"Keibert Ruiz","WSN",136,523,562,136,94,24,0,18,55,67,31,1,58,6,2,0,13,1,1,0.26,0.055,0.103,0.149,0.263,0.308,0.409,0.31,93,-7.4,-12.4,0,"WSN","C",311,0.55338078291815,0.594646271510516
"5",2023,"Jonah Heim","TEX",131,457,501,118,72,28,0,18,61,95,40,2,96,1,3,0,10,2,0,0.258,0.08,0.192,0.179,0.289,0.317,0.438,0.324,103,0.5,2.4,4.1,"TEX","C",304,0.606786427145709,0.665207877461707
"6",2023,"Cal Raleigh","SEA",145,513,569,119,65,23,1,30,78,75,54,1,158,1,1,0,6,0,0,0.232,0.095,0.278,0.224,0.273,0.306,0.456,0.326,111,-0.8,7,4.7,"SEA","C",284,0.499121265377856,0.553606237816764
"7",2023,"J.T. Realmuto","PHI",135,489,540,123,70,28,5,20,70,63,35,3,138,9,5,0,10,16,5,0.252,0.065,0.256,0.2,0.307,0.31,0.452,0.324,102,-1.5,-0.3,1.5,"PHI","C",270,0.5,0.552147239263804
"8",2023,"Willson Contreras","STL",125,428,495,113,66,27,0,20,55,67,51,0,111,13,2,1,12,6,3,0.264,0.103,0.224,0.203,0.311,0.358,0.467,0.358,127,-4.4,12.5,2.4,"STL","C",268,0.541414141414141,0.626168224299065
"9",2023,"Sean Murphy","ATL",108,370,438,93,51,21,0,21,65,68,49,0,98,18,1,0,18,0,0,0.251,0.112,0.224,0.227,0.286,0.365,0.478,0.366,129,-4.9,10.9,4.2,"ATL","C",261,0.595890410958904,0.705405405405405
"10",2023,"Salvador Perez","KCR",140,538,580,137,93,21,0,23,59,80,19,6,135,13,8,0,11,0,0,0.255,0.033,0.233,0.167,0.294,0.292,0.422,0.302,86,-3.5,-13.1,-0.3,"KCR","C",256,0.441379310344828,0.475836431226766
"11",2023,"Yainer Diaz","HOU",104,355,377,100,55,22,0,23,51,60,11,0,74,5,6,0,12,0,0,0.282,0.029,0.196,0.256,0.292,0.308,0.538,0.354,127,-4.3,7.8,2,"HOU","C",239,0.63395225464191,0.673239436619718
"12",2023,"Elias Díaz","COL",141,486,526,130,90,25,1,14,48,72,34,0,118,2,4,0,12,1,0,0.267,0.065,0.224,0.142,0.324,0.316,0.409,0.314,81,-0.5,-13,0,"COL","C",236,0.448669201520913,0.48559670781893
"13",2023,"MJ Melendez","KCR",148,533,602,125,75,29,5,16,65,56,62,2,170,3,4,0,4,6,4,0.235,0.103,0.282,0.163,0.311,0.316,0.398,0.31,92,-0.9,-6.7,0,"KCR","C",233,0.387043189368771,0.437148217636023
"14",2023,"Alejandro Kirk","TOR",123,372,422,93,69,16,0,8,34,43,42,1,45,6,2,0,21,0,0,0.25,0.1,0.107,0.108,0.265,0.334,0.358,0.308,96,-10.3,-12.3,1.6,"TOR","C",208,0.492890995260663,0.559139784946237
"15",2023,"Francisco Alvarez","NYM",123,382,423,80,43,12,0,25,51,63,34,0,110,6,1,0,14,2,0,0.209,0.08,0.26,0.228,0.222,0.284,0.437,0.31,97,-3.8,-5.3,2.7,"NYM","C",207,0.48936170212766,0.541884816753927
"16",2023,"Mitch Garver","TEX",87,296,344,80,50,11,0,19,45,50,44,1,82,3,0,0,6,0,0,0.27,0.128,0.238,0.23,0.313,0.37,0.5,0.374,138,-1.4,14.2,2.1,"TEX","C",206,0.598837209302326,0.695945945945946
"17",2023,"Tyler Stephenson","CIN",142,465,517,113,78,20,2,13,59,56,47,2,135,4,1,0,16,0,1,0.243,0.091,0.261,0.135,0.314,0.317,0.378,0.305,85,-5.7,-15.6,-0.7,"CIN","C",205,0.39651837524178,0.440860215053763
"18",2023,"Yan Gomes","CHC",116,382,419,102,70,20,2,10,44,63,21,1,81,9,7,0,9,1,0,0.267,0.05,0.193,0.141,0.309,0.315,0.408,0.312,95,-1.7,-4.2,1,"CHC","C",205,0.489260143198091,0.536649214659686
"19",2023,"Shea Langeliers","OAK",135,448,490,92,47,19,4,22,52,63,34,2,143,5,2,1,10,3,2,0.205,0.069,0.292,0.208,0.246,0.268,0.413,0.29,87,-2.3,-10,0.7,"OAK","C",196,0.4,0.4375
"20",2023,"Gabriel Moreno","ARI",111,341,380,97,70,19,1,7,33,50,29,0,75,3,7,0,17,6,2,0.284,0.076,0.197,0.123,0.338,0.339,0.408,0.325,103,-7.7,-6.5,1.7,"ARI","C",182,0.478947368421053,0.533724340175953
"21",2023,"Danny Jansen","TOR",86,268,301,61,29,15,0,17,38,53,23,1,62,10,0,0,3,0,0,0.228,0.076,0.206,0.246,0.233,0.312,0.474,0.336,116,0.8,6.4,2,"TOR","C",180,0.598006644518272,0.671641791044776
"22",2023,"Ryan Jeffers","MIN",96,286,335,79,48,15,2,14,46,43,33,1,93,10,2,4,6,3,2,0.276,0.099,0.278,0.213,0.359,0.369,0.49,0.369,138,-1.8,13.4,2.7,"MIN","C",173,0.516417910447761,0.604895104895105
"23",2023,"Jake Rogers","DET",107,331,365,73,41,11,0,21,47,49,28,0,118,3,2,1,6,1,1,0.221,0.077,0.323,0.224,0.268,0.286,0.444,0.312,97,0.2,-1,2.2,"DET","C",154,0.421917808219178,0.465256797583082
"24",2023,"Gary Sánchez","2 Tms",75,240,267,52,24,9,0,19,33,47,21,0,67,4,2,0,3,0,0,0.217,0.079,0.251,0.275,0.212,0.288,0.492,0.329,111,-2.1,1.6,1.7,"2 Tms","C",152,0.569288389513109,0.633333333333333
"25",2023,"Bo Naylor","CLE",67,198,230,47,23,13,0,11,33,32,30,1,53,1,1,0,2,5,0,0.237,0.13,0.23,0.232,0.267,0.339,0.47,0.347,124,2.9,9.4,2.4,"CLE","C",141,0.61304347826087,0.712121212121212
"26",2023,"Yasmani Grandal","CHW",118,363,405,85,63,14,0,8,33,33,36,1,86,4,2,0,11,0,0,0.234,0.089,0.212,0.105,0.284,0.309,0.339,0.288,80,-6.1,-16,-0.1,"CHW","C",140,0.345679012345679,0.385674931129477
"27",2023,"Connor Wong","BOS",126,371,403,87,51,25,2,9,55,36,22,0,134,6,1,3,4,8,2,0.235,0.055,0.333,0.151,0.341,0.288,0.385,0.292,78,1.1,-9.7,0.5,"BOS","C",130,0.32258064516129,0.350404312668464
"28",2023,"Travis d'Arnaud","ATL",74,267,292,60,36,13,0,11,31,39,21,0,67,3,1,0,6,0,0,0.225,0.072,0.229,0.172,0.258,0.288,0.397,0.297,83,-1.1,-7.2,0.9,"ATL","C",130,0.445205479452055,0.48689138576779
"29",2023,"Christian Bethancourt","TBR",104,315,332,71,44,16,0,11,49,33,13,0,91,0,3,1,6,1,0,0.225,0.039,0.274,0.156,0.278,0.254,0.381,0.271,74,-0.9,-11.4,0.6,"TBR","C",125,0.376506024096386,0.396825396825397
"30",2023,"Luis Campusano","SDP",49,163,174,52,38,7,0,7,27,30,7,0,21,3,1,0,8,0,0,0.319,0.04,0.121,0.172,0.331,0.356,0.491,0.364,134,-2.2,5.2,1.1,"SDP","C",123,0.706896551724138,0.754601226993865
"31",2023,"Freddy Fermin","KCR",70,217,235,61,41,10,1,9,26,32,13,0,50,1,3,1,11,0,0,0.281,0.055,0.213,0.18,0.323,0.321,0.461,0.333,108,-2.2,0,1.5,"KCR","C",121,0.514893617021277,0.557603686635945
"32",2023,"Patrick Bailey","SFG",97,326,353,76,50,18,1,7,29,48,21,0,100,3,1,2,8,1,0,0.233,0.059,0.283,0.126,0.314,0.285,0.359,0.282,78,-0.7,-10.4,2.8,"SFG","C",116,0.328611898016997,0.355828220858896
"33",2023,"Christian Vázquez","MIN",102,327,355,73,54,13,0,6,34,32,25,1,82,1,1,1,11,1,0,0.223,0.07,0.231,0.095,0.279,0.28,0.318,0.264,65,-4.4,-19.1,1,"MIN","C",115,0.323943661971831,0.351681957186544
"34",2023,"Blake Sabol","SFG",110,310,344,73,50,10,0,13,36,44,24,0,117,6,2,2,4,4,2,0.235,0.07,0.34,0.158,0.33,0.301,0.394,0.303,92,1.1,-2.2,0.7,"SFG","C",113,0.328488372093023,0.364516129032258
"35",2023,"Logan O'Hoppe","LAA",51,182,199,43,23,6,0,14,23,29,14,0,48,2,1,0,4,0,1,0.236,0.07,0.241,0.264,0.24,0.296,0.5,0.337,113,-1.6,1.4,0.2,"LAA","C",109,0.547738693467337,0.598901098901099
"36",2023,"Nick Fortes","MIA",108,294,323,60,44,10,0,6,33,26,17,0,59,7,2,3,12,4,2,0.204,0.053,0.183,0.095,0.234,0.263,0.299,0.251,53,-1.5,-20.4,0.2,"MIA","C",109,0.337461300309598,0.370748299319728
"37",2023,"Andrew Knizner","STL",70,224,241,54,33,11,0,10,30,31,12,0,62,3,1,1,8,2,0,0.241,0.05,0.257,0.183,0.288,0.288,0.424,0.306,92,-1.3,-3.5,-0.1,"STL","C",108,0.448132780082988,0.482142857142857
"38",2023,"Matt Thaiss","LAA",95,262,307,56,41,6,0,9,32,31,36,1,83,6,3,0,4,2,0,0.214,0.117,0.27,0.126,0.272,0.319,0.34,0.295,84,-1.2,-7.2,0.3,"LAA","C",108,0.351791530944625,0.412213740458015
"39",2023,"Victor Caratini","MIL",62,201,226,52,41,4,0,7,23,25,19,0,45,3,3,0,8,1,1,0.259,0.084,0.199,0.124,0.296,0.327,0.383,0.312,94,-3.3,-4.9,1.1,"MIL","C",100,0.442477876106195,0.497512437810945
"40",2023,"Kyle Higashioka","NYY",92,242,260,57,34,13,0,10,24,34,14,0,74,0,3,1,5,0,0,0.236,0.054,0.285,0.178,0.292,0.274,0.413,0.293,86,-1.1,-5.3,1.7,"NYY","C",98,0.376923076923077,0.40495867768595
"41",2023,"Martín Maldonado","HOU",117,362,407,69,42,12,0,15,33,36,30,0,139,3,0,12,10,0,0,0.191,0.074,0.342,0.157,0.26,0.258,0.348,0.266,66,-2.6,-19,-1.2,"HOU","C",86,0.211302211302211,0.237569060773481
"42",2023,"James McCann","BAL",70,207,226,46,26,14,0,6,25,26,9,0,57,5,2,3,5,3,1,0.222,0.04,0.252,0.155,0.274,0.269,0.377,0.279,77,-0.7,-7,0.5,"BAL","C",84,0.371681415929204,0.405797101449275
"43",2023,"Tom Murphy","SEA",47,145,159,42,22,12,0,8,19,17,10,0,44,1,2,0,4,0,0,0.29,0.063,0.277,0.248,0.358,0.335,0.538,0.367,140,-1.6,6.1,0.8,"SEA","C",80,0.50314465408805,0.551724137931034
"44",2023,"Luke Maile","CIN",78,179,199,42,26,10,0,6,17,25,14,0,49,5,0,1,8,2,1,0.235,0.07,0.246,0.156,0.29,0.308,0.391,0.307,86,-3,-6.5,0.2,"CIN","C",79,0.396984924623116,0.441340782122905
"45",2023,"Jacob Stallings","MIA",89,241,276,46,29,14,0,3,22,20,27,0,67,3,2,3,9,0,0,0.191,0.098,0.243,0.095,0.249,0.278,0.286,0.256,57,-5.7,-20.5,-0.8,"MIA","C",71,0.257246376811594,0.294605809128631
"46",2023,"Carlos Pérez","OAK",68,168,189,38,28,4,0,6,17,20,13,0,40,4,3,1,4,0,0,0.226,0.069,0.212,0.131,0.256,0.293,0.357,0.285,84,-0.7,-4.5,0.1,"OAK","C",70,0.37037037037037,0.416666666666667
"47",2023,"Carlos Pérez","OAK",68,168,189,38,28,4,0,6,17,20,13,0,40,4,3,1,4,0,0,0.226,0.069,0.212,0.131,0.256,0.293,0.357,0.285,84,-0.7,-4.5,0.1,"CHW","C",70,0.37037037037037,0.416666666666667
"48",2023,"Endy Rodríguez","PIT",57,186,204,41,29,7,2,3,27,13,17,0,49,0,1,0,3,0,0,0.22,0.083,0.24,0.108,0.281,0.284,0.328,0.271,65,0.2,-8.5,0.7,"PIT","C",69,0.338235294117647,0.370967741935484
"49",2023,"Francisco Mejía","TBR",50,150,160,34,18,11,0,5,22,19,6,0,38,1,2,1,2,0,1,0.227,0.038,0.238,0.173,0.266,0.258,0.4,0.28,80,-0.8,-4.7,-0.3,"TBR","C",69,0.43125,0.46
"50",2023,"Eric Haase","2 Tms",89,274,293,55,42,8,1,4,22,26,17,1,81,0,1,1,11,4,1,0.201,0.058,0.276,0.08,0.268,0.247,0.281,0.233,42,-2.9,-23.2,-1.4,"2 Tms","C",66,0.225255972696246,0.240875912408759
"51",2023,"Jason Delay","PIT",70,167,187,42,29,11,1,1,20,18,14,0,44,3,1,2,5,0,0,0.251,0.075,0.235,0.096,0.333,0.319,0.347,0.296,82,-1,-5.1,1.1,"PIT","C",66,0.352941176470588,0.395209580838323
"52",2023,"Jose Trevino","NYY",55,157,168,33,25,4,0,4,15,15,8,0,22,2,0,1,6,0,0,0.21,0.048,0.131,0.102,0.221,0.257,0.312,0.252,58,-1.5,-10,0.9,"NYY","C",65,0.386904761904762,0.414012738853503
"53",2023,"Riley Adams","WSN",44,143,158,39,20,13,2,4,8,21,11,0,45,2,1,1,5,0,0,0.273,0.07,0.285,0.203,0.368,0.331,0.476,0.344,116,-0.4,2.7,0.4,"WSN","C",63,0.39873417721519,0.440559440559441
"54",2023,"Reese McGuire","BOS",72,187,206,50,36,12,1,1,15,16,11,0,53,1,1,2,2,2,1,0.267,0.053,0.257,0.091,0.366,0.31,0.358,0.293,78,-2.1,-7.5,0.3,"BOS","C",58,0.281553398058252,0.310160427807487
"55",2023,"Miguel Amaya","CHC",53,131,156,28,19,4,0,5,17,18,12,0,40,11,1,1,2,0,0,0.214,0.077,0.256,0.145,0.264,0.329,0.359,0.31,94,0,-1.2,0.6,"CHC","C",54,0.346153846153846,0.412213740458015
"56",2023,"David Fry","CLE",58,101,113,24,14,6,0,4,12,15,8,0,30,4,0,0,3,2,0,0.238,0.071,0.265,0.178,0.299,0.319,0.416,0.321,106,0.6,1.4,0,"CLE","C",49,0.433628318584071,0.485148514851485
"57",2023,"Chad Wallach","LAA",65,157,172,31,18,5,1,7,18,15,13,0,57,0,0,2,5,0,1,0.197,0.076,0.331,0.178,0.258,0.259,0.376,0.275,70,-0.9,-7.1,0.2,"LAA","C",48,0.27906976744186,0.305732484076433
"58",2023,"Austin Barnes","LAD",59,178,200,32,25,5,0,2,15,11,17,0,43,2,2,1,7,2,1,0.18,0.085,0.215,0.062,0.222,0.256,0.242,0.229,41,-1.9,-16.5,-0.8,"LAD","C",45,0.225,0.252808988764045
"59",2023,"Austin Wells","NYY",19,70,75,16,6,6,0,4,8,13,3,0,14,0,1,0,3,0,0,0.229,0.04,0.187,0.257,0.226,0.257,0.486,0.309,97,-0.1,-0.3,0.4,"NYY","C",44,0.586666666666667,0.628571428571429
"60",2023,"Omar Narváez","NYM",49,128,146,27,20,5,0,2,12,7,14,0,27,0,3,1,1,0,0,0.211,0.096,0.185,0.086,0.245,0.283,0.297,0.259,64,-0.5,-7,0,"NYM","C",44,0.301369863013699,0.34375
"61",2023,"Garrett Stubbs","PHI",41,113,125,23,17,4,1,1,15,12,9,0,29,2,0,1,0,2,0,0.204,0.072,0.232,0.08,0.265,0.274,0.283,0.252,54,0.9,-6.3,-0.3,"PHI","C",41,0.328,0.36283185840708
"62",2023,"René Pinto","TBR",39,103,105,26,17,3,0,6,10,16,2,0,34,0,0,0,2,0,0,0.252,0.019,0.324,0.204,0.317,0.267,0.456,0.306,98,-0.7,-1,0.7,"TBR","C",41,0.39047619047619,0.398058252427184
"63",2023,"Carson Kelly","2 Tms",52,136,151,28,21,5,0,2,13,13,14,0,40,0,1,0,2,1,0,0.206,0.093,0.265,0.081,0.274,0.278,0.287,0.255,56,0.5,-7.5,0.1,"2 Tms","C",40,0.264900662251656,0.294117647058824
"64",2023,"Austin Hedges","2 Tms",82,185,212,34,28,5,0,1,14,16,11,0,47,2,3,10,7,1,0,0.184,0.052,0.222,0.043,0.236,0.234,0.227,0.209,24,-0.3,-20.2,0.8,"2 Tms","C",37,0.174528301886792,0.2
"65",2023,"Seby Zavala","2 Tms",73,175,193,30,19,4,0,7,17,18,12,0,70,2,2,2,4,1,0,0.171,0.062,0.363,0.143,0.23,0.23,0.314,0.239,45,-1.3,-13.9,0.2,"2 Tms","C",33,0.170984455958549,0.188571428571429
"66",2023,"Jose Herrera","ARI",43,101,120,21,16,5,0,0,15,7,13,0,30,0,1,5,2,1,0,0.208,0.108,0.25,0.05,0.292,0.296,0.257,0.256,56,-1.1,-7.6,-0.7,"ARI","C",32,0.266666666666667,0.316831683168317
"67",2023,"Austin Nola","SDP",52,130,154,19,15,3,0,1,9,8,18,0,31,2,0,4,5,0,0,0.146,0.117,0.201,0.046,0.184,0.26,0.192,0.22,38,-0.4,-12.3,-1,"SDP","C",29,0.188311688311688,0.223076923076923
"68",2023,"Austin Wynns","3 Tms",51,130,145,27,20,6,0,1,11,10,9,0,39,2,1,3,4,1,0,0.208,0.062,0.269,0.069,0.286,0.268,0.277,0.245,37,-1.5,-13,0,"3 Tms","C",28,0.193103448275862,0.215384615384615
"69",2023,"Brett Sullivan","SDP",33,81,86,17,13,3,0,1,7,6,4,0,19,0,1,0,1,0,0,0.21,0.047,0.221,0.074,0.258,0.244,0.284,0.232,46,-0.2,-6,-0.5,"SDP","C",21,0.244186046511628,0.259259259259259
"70",2023,"Tyler Heineman","2 Tms",22,38,47,9,7,1,1,0,5,3,8,0,8,1,0,0,0,1,0,0.237,0.17,0.17,0.079,0.3,0.383,0.316,0.325,107,1,1.3,0.4,"2 Tms","C",21,0.446808510638298,0.552631578947368
"71",2023,"Drew Millas","WSN",11,28,33,8,5,2,0,1,1,6,4,0,5,0,0,1,2,0,0,0.286,0.121,0.152,0.179,0.318,0.375,0.464,0.365,130,-0.4,0.8,0.2,"WSN","C",19,0.575757575757576,0.678571428571429
"72",2023,"Carlos Pérez","CHW",27,49,53,10,5,4,0,1,5,3,4,0,11,0,0,0,2,0,0,0.204,0.075,0.208,0.143,0.243,0.264,0.347,0.267,65,-0.4,-2.6,-0.2,"OAK","C",18,0.339622641509434,0.36734693877551
"73",2023,"Carlos Pérez","CHW",27,49,53,10,5,4,0,1,5,3,4,0,11,0,0,0,2,0,0,0.204,0.075,0.208,0.143,0.243,0.264,0.347,0.267,65,-0.4,-2.6,-0.2,"CHW","C",18,0.339622641509434,0.36734693877551
"74",2023,"Curt Casali","CIN",40,80,96,14,12,2,0,0,8,6,11,0,23,2,0,3,1,0,0,0.175,0.115,0.24,0.025,0.246,0.29,0.2,0.239,40,0.3,-6.8,-0.2,"CIN","C",18,0.1875,0.225
"75",2023,"Sam Huff","TEX",21,43,45,11,6,2,0,3,5,6,2,0,17,0,0,0,1,0,0,0.256,0.044,0.378,0.256,0.348,0.289,0.512,0.337,113,0.1,0.8,0.1,"TEX","C",18,0.4,0.418604651162791
"76",2023,"Ben Rortvedt","NYY",32,68,79,8,5,1,0,2,6,4,11,0,19,0,0,0,1,0,0,0.118,0.139,0.241,0.103,0.128,0.241,0.221,0.219,35,0.1,-6.1,0.1,"NYY","C",17,0.215189873417722,0.25
"77",2023,"Iván Herrera","STL",13,37,44,11,9,2,0,0,6,4,5,0,11,2,0,0,1,0,0,0.297,0.114,0.25,0.054,0.423,0.409,0.351,0.349,122,0.6,1.7,0.5,"STL","C",17,0.386363636363636,0.459459459459459
"78",2023,"Joey Bart","SFG",30,87,95,18,13,5,0,0,9,5,3,0,23,4,1,0,0,0,0,0.207,0.032,0.242,0.057,0.277,0.263,0.264,0.239,49,0.5,-5.5,0,"SFG","C",17,0.178947368421053,0.195402298850575
"79",2023,"Mike Zunino","CLE",42,124,140,22,12,7,0,3,11,11,15,0,61,1,0,0,3,0,0,0.177,0.107,0.436,0.129,0.317,0.271,0.306,0.261,64,-1.7,-7.8,-0.2,"CLE","C",14,0.1,0.112903225806452
"80",2023,"Tucker Barnhart","CHC",47,109,123,22,18,3,0,1,6,9,12,0,42,1,1,0,4,1,0,0.202,0.098,0.341,0.055,0.313,0.285,0.257,0.25,53,-1.3,-8.4,0.2,"CHC","C",14,0.113821138211382,0.128440366972477
"81",2023,"Tyler Soderstrom","OAK",45,125,138,20,16,1,0,3,9,7,11,0,43,1,1,0,6,0,0,0.16,0.08,0.312,0.08,0.213,0.232,0.24,0.216,35,-2.1,-12.8,-1,"OAK","C",14,0.101449275362319,0.112
"82",2023,"Logan Porter","KCR",11,31,38,6,4,1,0,1,4,3,5,0,11,1,0,1,2,0,0,0.194,0.132,0.289,0.129,0.263,0.324,0.323,0.297,83,-1.4,-2.2,0.1,"KCR","C",11,0.289473684210526,0.354838709677419
"83",2023,"Jorge Alfaro","2 Tms",18,48,52,7,2,4,0,1,2,4,2,0,15,2,0,0,3,0,0,0.146,0.038,0.288,0.146,0.188,0.212,0.292,0.223,23,-0.9,-5.8,-0.4,"2 Tms","C",7,0.134615384615385,0.145833333333333
"84",2023,"Luis Torrens","2 Tms",18,28,30,7,4,3,0,0,1,4,1,0,9,1,0,0,0,0,0,0.25,0.033,0.3,0.107,0.368,0.3,0.357,0.289,82,0,-0.7,-0.1,"2 Tms","C",7,0.233333333333333,0.25
"85",2023,"Manny Piña","OAK",4,12,12,3,2,0,0,1,1,1,0,0,3,0,0,0,1,0,0,0.25,0,0.25,0.25,0.25,0.25,0.5,0.314,103,-0.3,-0.3,0,"OAK","C",5,0.416666666666667,0.416666666666667
"86",2023,"Anthony Bemboom","BAL",6,11,13,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.182,0.154,0.154,0,0.222,0.308,0.182,0.243,52,0.1,-0.7,0,"BAL","C",2,0.153846153846154,0.181818181818182
"87",2023,"Brian O'Keefe","SEA",8,19,21,2,0,2,0,0,0,2,2,0,7,0,0,0,2,0,0,0.105,0.095,0.333,0.105,0.167,0.19,0.211,0.185,13,-0.3,-2.5,-0.2,"SEA","C",1,0.0476190476190476,0.0526315789473684
"88",2023,"Korey Lee","CHW",24,65,70,5,3,1,0,1,4,3,5,0,20,0,0,0,0,0,0,0.077,0.071,0.286,0.062,0.091,0.143,0.138,0.134,-27,0.2,-10.4,-0.7,"CHW","C",1,0.0142857142857143,0.0153846153846154
"89",2023,"Roberto Pérez","SFG",5,15,17,2,2,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0.133,0.118,0.353,0,0.222,0.235,0.133,0.186,13,0.1,-1.8,-0.1,"SFG","C",-1,-0.0588235294117647,-0.0666666666666667
"90",2023,"Chadwick Tromp","ATL",6,16,16,2,1,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0.125,0,0.438,0.063,0.222,0.125,0.188,0.133,-27,0.1,-2.4,-0.2,"ATL","C",-2,-0.125,-0.125
"91",2023,"César Salazar","HOU",13,18,19,2,2,0,0,0,1,0,1,0,6,0,0,0,1,0,0,0.111,0.053,0.316,0,0.167,0.158,0.111,0.13,-28,-0.1,-3,-0.2,"HOU","C",-2,-0.105263157894737,-0.111111111111111
"92",2023,"Sandy León","TEX",22,41,44,6,4,2,0,0,4,4,1,0,20,1,0,1,2,0,0,0.146,0.023,0.455,0.049,0.286,0.186,0.195,0.173,-1,-0.4,-5.8,-0.4,"TEX","C",-3,-0.0681818181818182,-0.0731707317073171
"93",2023,"Tomás Nido","NYM",22,56,61,7,7,0,0,0,5,1,2,0,18,0,1,2,2,0,0,0.125,0.033,0.295,0,0.179,0.153,0.125,0.128,-24,-0.2,-9.6,-0.7,"NYM","C",-3,-0.0491803278688525,-0.0535714285714286
"94",2023,"Brian Serven","COL",11,23,23,3,2,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0.13,0,0.435,0.043,0.231,0.13,0.174,0.131,-42,-0.1,-4.2,-0.3,"COL","C",-5,-0.217391304347826,-0.217391304347826
"95",2023,"Cam Gallagher","CLE",56,143,149,18,12,6,0,0,6,7,4,0,46,1,1,0,3,0,0,0.126,0.027,0.309,0.042,0.184,0.154,0.168,0.145,-17,-1,-21.8,-1,"CLE","C",-5,-0.0335570469798658,-0.034965034965035
